"Type","Code","ThinkCode","ColorCode","Formula","Colored","FormulaKey","SameCode","ColorDesc","ReverseCode"
角块,WP,网盘,"0",l D' U R D R' U2 R D' R' U D l',,角块-WP,,,
角块,MP,麦片,"1",l U R D' R' U2 R D R' U l',,角块-MP,,,
角块,NP,奶瓶,"2",D' R D' R' U' R D2 R' U R D' R' D,,角块-NP,,,
角块,WQ,围棋,"0",D U r' D2 r U' r' F D2 F' r D',,角块-WQ,,,
角块,MQ,米奇,"1",R' D R D R U R' D' R U' R2 D' R,,角块-MQ,,,
角块,WI,WiFi,"0",U' R' U2 R' D R U2 R' D' R2 U,,角块-WI,,,
角块,PC,泡菜,"1",x' D R U2 R' D' R U2 l',,角块-PC,,,
角块,QC,青菜,"2",r2 D' R' D r2 U' R U,,角块-QC,,,
角块,OD,欧弟,"0",R' U' D' R D R U' R' D' R U R2 D U R,,角块-OD,,,
角块,OR,俄勒冈州,"0",R2 U r2 D' R2 D r2 U',,角块-OR,,,
角块,PR,飘柔,"1",U R D2 R U' R' D2 R U R2 U',,角块-PR,,,
角块,QR,奇瑞,"2",D2 R2 D2 R' U' R D2 R' U R' D2,,角块-QR,,,
角块,OS,内心独白,"0",R2 D' R U R' D' R U' R' D2 R2,,角块-OS,,,
角块,PS,菩萨,"1",U' D' R' U' R D R' U R U,,角块-PS,,,
角块,QS,汽水,"2",R D' R' U' R D2 R' U R D' R',,角块-QS,,,
角块,OT,蛋挞,"0",R D' U' R' U R D2 R' U' R U D' R',,角块-OT,,,
角块,PT,葡萄,"1",R' D R' U' R D2 R' U R D R,,角块-PT,,,
角块,QT,拳头,"2",D2 R U R' D R U' R' D,,角块-QT,,,
角块,OX,公牛,"0",D2 R2 U R2 U' R2 D2 R2 U R2 U' R2,,角块-OX,,,
角块,QN,牵牛花,"2",D2 R U R' D' R U' R' D',,角块-QN,,,
角块,PX,螃蟹/皮鞋,"1",U D R D R U' R' D' R U R2 D' U',,角块-PX,,,
角块,OY,欧元,"0",R U r2 D' R' D r2 U',,角块-OY,,,
角块,PY,皮衣,"1",U' D' R' U' R D2 R' U R D' U,,角块-PY,,,
角块,QY,秋衣,"2",U R U' R D' R' U' R D R' U2 R' U',,角块-QY,,,
角块,OZ,欧洲,"0",R U' R D' R' U R D R2,,角块-OZ,,,
角块,PZ,瓶子,"1",U R' D2 R U' R' D R U R' D R U',,角块-PZ,,,
角块,QZ,茄子,"2",D2 R U R' D2 R U' R',,角块-QZ,,,
角块,RA,锐澳,"0",R D' R' U' R' D R U R' D' R2 D R',,角块-RA,,,
角块,SA,SARS,"1",U2 R D R' U R D' R' U,,角块-SA,,,
角块,TA,天安门,"2",D' U' R' D' R U R' D R D,,角块-TA,,,
角块,RB,日本,"0",D R U2 R D' R' U2 R D R2 D',,角块-RB,,,
角块,QX,球鞋,"2",D2 R2 D' R' U' R D R' U R' D2,,角块-QX,,,
棱块,YH,樱花,"01",R u' R' E' R2 E R' u R',,棱块-YH,,,
角块,PN,跑男,"1",D' R D R' U' R D2 R' U R D R' D,,角块-PN,,,
角块,QM,洽米,"2",R' D R2 U R' D R U' R' D' R' D' R,,角块-QM,,,
角块,PD,皮蛋,"1",U2 R' D2 R U2 R' D2 R,,角块-PD,,,
角块,QD,乔丹,"2",U R D' R' U2 R D R' U,,角块-QD,,,
角块,OE,藕耳,"0",R U R D' R' U' R D R2,,角块-OE,,,
角块,PE,普洱茶,"1",D U R2 D R U' R' D' R U R U' D',,角块-PE,,,
角块,QE,企鹅,"2",U R' U' R D' R' U' R D R' U2 R U',,角块-QE,,,
角块,OF,关机键,"0",D U' R' U' R' D R U R' D' R2 U D',,角块-OF,,,
角块,PF,披风,"1",R' D R' U R D2 R' U' R D R,,角块-PF,,,
角块,QF,擒奋,"2",U2 R2 D' R' U R D R' U' R' U2,,角块-QF,,,
角块,OG,欧冠,"0",x D2 R' U' R D2 R' U R x',,角块-OG,,,
角块,PG,苹果/屁股,"1",U R' D2 R U' R' D2 R,,角块-PG,,,
角块,ON,欧尼,"0",D R U' R D2 R' U R D2 R2 D',,角块-ON,,,
角块,QG,乞丐,"2",R D' R' U' R D R' U,,角块-QG,,,
角块,PH,胖虎,"1",D R' U R U' R' D R U R' D' U' R D' ,,角块-PH,,,
角块,QH,拳皇,"2",U' L U R U' L' U R',,角块-QH,,,
角块,OI,油,"0",D U' R' U2 R' D R U2 R' D' R2 U D',,角块-OI,,,
角块,PI,屁,"1",U' R' U R D' R' U2 R D R' U R U,,角块-PI,,,
角块,QI,棋,"2",U R2 D' R' U2 R D R' U2 R' U',,角块-QI,,,
角块,OW,猫头鹰,"0",r D r' F2 r D' r' F2,,角块-OW,,,
角块,PW,喷雾,"1",l D' U' R D R' U2 R D' R' U' D l',,角块-PW,,,
角块,QW,青蛙,"2",D r' F D2 F' r U r' D2 r U' D',,角块-QW,,,
角块,OM,欧姆,"0",F' D2 R U' R' D2 R U R' F,,角块-OM,,,
角块,PM,泡面,"1",l U' R D' R' U2 R D R' U' l',,角块-PM,,,
角块,OH,欧皇,"0",R U' D' R' U R D R' U' R U R',,角块-OH,,,
棱块,ZG,中国,"10",U2 L' E L U' L' E' L U',,棱块-ZG,,,
棱块,YG,鱼缸,"00",r' U M' U' R U M U' M',,棱块-YG,,,
棱块,ZF,罪犯,"11",U R' U' M' U R U' M,,棱块-ZF,,,
棱块,IQ,IQ智商,"00",U D' L' E' L2 E L' U' D,,棱块-IQ,,,
棱块,JQ,机器,"10",U' R U M' U' R' U M,,棱块-JQ,,,
棱块,GR,骨肉相连,"01",U L E' L' U L E L' U2,,棱块-GR,,,
棱块,HR,花蕊,"11",S' U L E' L' U' L E L' S,,棱块-HR,,,
棱块,IR,伊朗,"01",R2 F E R2 E' R2 F' R2,,棱块-IR,,,
棱块,JR,杰瑞鼠,"11",F' E R U' R' E' R U R' F,,棱块-JR,,,
棱块,GS,怪兽,"00",R2 U' R E R2 E' R U R2,,棱块-GS,,,
棱块,HS,和尚,"10",S U' R E R2 E' R U S',,棱块-HS,,,
棱块,IS,伊斯兰国,"00",U' D R E R2 E' R U D',,棱块-IS,,,
棱块,JS,僵尸,"10",U L' U' M' U L U' M,,棱块-JS,,,
棱块,GT,钢铁侠,"01",U' R' E R U R' E' R,,棱块-GT,,,
棱块,HT,核桃,"11",L' M U' M' U2 M U' M' L,,棱块-HT,,,
棱块,IT,互联网技术,"01",L2 F' E' L2 E L2 F L2,,棱块-IT,,,
棱块,JT,吉他,"11",F r U r' E r U' r' E' F',,棱块-JT,,,
棱块,GW,国王,"00",U' R' E2 R U R' E2 R,,棱块-GW,,,
棱块,HW,华为,"10",M' U R E' R' U' R E r',,棱块-HW,,,
棱块,IW,爱沃驰手表,"00",U' D R' E' R2 E R' D' U,,棱块-IW,,,
棱块,JW,街舞,"10",U L U' M' U L' U' M,,棱块-JW,,,
棱块,GX,狗熊,"01",U' R E' R' U R E R',,棱块-GX,,,
棱块,HX,海鲜,"11",l U' M' U2 M U' l',,棱块-HX,,,
棱块,IX,九,"01",F' E' L2 E L2 F,,棱块-IX,,,
棱块,HQ,红旗,"10",R U2 R' S' R U' R' S R U' R',,棱块-HQ,,,
棱块,GQ,钢琴,"00",M U M' U' R U M U' R' M',,棱块-GQ,,,
